"","ename","bcomp","genus","family","common","inames","log_base_cort","log_fledging_age_d","log_longevity","mig_disp","breed_lat","log_elevation_upper","swos","log_area","log_birth_or_hatching_weight_g","log_fmass","log_emass","incubation_d","winter_lat","log_ed_fair","s_mdist","pop_decreasing","litter_or_clutch_size_n","log_femalemat","ptaxa1","log_mass","litters_or_clutches_per_y","Diet.Seed","ForStrat.ground","passerine","ForStrat.midhigh","family_Turdidae","Diet.Inv","ForStrat.understory","Diet.Nect","diet_diversity","family_Fringillidae","family_Parulidae","ForStrat.canopy","Diet.PlantO","log_stress_cort","Diet.Fruit","pop_increasing","log_malemat","marine_system","pop_stable","freshwater_system","family_Emberizidae","foraging_diversity","mig_fullmigrant","mig_partialmigrant","Diet.Vect","family_Sylviidae","Diet.Vend","family_Paridae","mig_resident","family_Muscicapidae","IUCN_LC","Diet.Scav","unique_name"
"1","Abroscopus albogularis",NA,"Abroscopus","Cettiidae","Rufous-faced Warbler","Abroscopus albogularis",NA,NA,NA,0,24.79285136,3.07918124604762,NA,6.23163537544184,NA,NA,NA,NA,24.79285136,-2.44929697436525,0,"0",3.9,NA,"0",NA,NA,0,0,"1",0,"0",100,100,0,1,"0","0",0,0,NA,0,"0",NA,"0","1","0","0",1,"0","0",0,"0",0,"0","1","0","1",0,"Abroscopus albogularis"
"2","Abroscopus schisticeps",NA,"Abroscopus","Cettiidae","Black-faced Warbler","Abroscopus schisticeps",NA,NA,NA,0,26.70051346,NA,NA,5.95866756890562,NA,NA,NA,NA,26.70051346,-2.44929697436525,0,"0",4.5,NA,"0",0.685741738602264,NA,0,0,"1",0,"0",100,0,0,1,"0","0",100,0,NA,0,"0",NA,"0","1","0","0",1,"0","0",0,"0",0,"0","1","0","1",0,"Abroscopus schisticeps"
"3","Abroscopus superciliaris",NA,"Abroscopus","Cettiidae","Yellow-bellied Warbler","Abroscopus superciliaris",NA,NA,NA,0,10.580018,3.35888620440587,NA,6.39679839609858,NA,NA,NA,NA,10.580018,-2.43536904153227,0,"0",3.2,NA,"0",0.812913356642856,NA,0,0,"1",0,"0",100,80,0,1,"0","0",20,0,NA,0,"0",NA,"0","1","0","0",2,"0","0",0,"0",0,"0","1","0","1",0,"Abroscopus superciliaris"
"4","Acanthidops bairdi",NA,"Acanthidops","Thraupidae","Peg-billed Finch","Acanthidops bairdi",NA,NA,NA,0,9.56458404,3.47712125471966,NA,3.67607863123643,NA,NA,NA,NA,9.56458404,-2.53600896349901,0,"1",NA,NA,"0",1.20411998265592,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Acanthidops bairdi"
"5","Acanthis cabaret",0,"Acanthis","Maluridae",NA,"Acanthis cabaret",NA,NA,NA,NA,NA,NA,7.34846922834953,NA,NA,NA,NA,NA,NA,-2.50987654618844,NA,NA,NA,NA,"0",1.10037054511756,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,"0",NA,"0",NA,NA,"Acanthis cabaret"
"6","Acanthis flammea",0,"Acanthis","Fringillidae","Common Redpoll","Acanthis flammea",NA,1.07918124604762,1.39794000867204,0.0363921538126874,64.67550049,NA,3.3166247903554,7.6282034393519,0.113943352306837,0.963787827345555,0.146128035678238,10.5,55.489760785,-2.49390169200772,46.1583681194355,"1",5,2.56138048325787,"0",1.11394335230684,1.75,40,100,"1",0,"0",30,0,0,3,"1","0",0,30,NA,0,"0",2.56229286445647,"0","0","0","0",1,"0","1",0,"0",0,"0","0","0","1",0,"Acanthis flammea"
"7","Acanthis hornemanni",NA,"Acanthis","Fringillidae","Arctic Redpoll","Acanthis hornemanni",NA,1.11394335230684,0.832508912706236,NA,NA,NA,0,NA,0.113943352306837,2.67669360962487,0.161368002234975,12.35,NA,-2.50987654618844,NA,NA,4.5,2.56229286445647,"0",1.15533603746506,1,NA,NA,"1",NA,"0",NA,NA,NA,NA,"1","0",NA,NA,NA,NA,NA,2.56229286445647,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,"0",NA,"0",NA,NA,"Acanthis hornemanni"
"8","Acridotheres albocinctus",NA,"Acridotheres","Sturnidae","Collared Myna","Acridotheres albocinctus",NA,NA,NA,0,23.36901196,3.07918124604762,0,5.51615520744354,NA,NA,NA,NA,23.36901196,-2.50762532203595,0,"0",4,NA,"0",NA,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Acridotheres albocinctus"
"9","Acridotheres cinereus",NA,"Acridotheres","Sturnidae","Pale-bellied Myna","Acridotheres cinereus",NA,NA,NA,0,-6.45377756,3.17609125905568,0,4.54398630311082,NA,NA,0.829303772831025,NA,-6.45377756,-2.52412290296609,0,"1",4.2,NA,"0",1.92941892571429,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","0",NA,"Acridotheres cinereus"
"10","Acridotheres cristatellus",NA,"Acridotheres","Sturnidae","Crested Myna","Acridotheres cristatellus",NA,1.38916608436453,1.11394335230684,0,26.1788305,NA,1.73205080756888,6.50864073527967,0.770852011642144,1.89209460269048,0.877946951629188,15,26.1788305,-2.52412290296609,0,"0",4.25,NA,"0",2.06632592536204,1,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","1","0","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Acridotheres cristatellus"
