host,hostOrder,parasite,parType,banesh,brook,eid,gmpd,nhml,oli
Homo sapiens,Primates,Abbreviata caucasica,helminth,1,0,0,0,0,0
Cyprinus carpio,Cypriniformes,Acanthocephalus dirus,helminth,1,0,0,0,1,0
Esox lucius,Esociformes,Acanthocephalus lucii,helminth,1,0,0,0,1,0
Passer domesticus,Passeriformes,Acuaria subula,helminth,1,0,0,0,0,0
Mustela erminea,Carnivora,Aelurostrongylus pridhami,helminth,1,0,0,0,0,0
Anas platyrhynchos,Anseriformes,Allodapa suctoria,helminth,1,0,0,0,0,0
Anas platyrhynchos,Anseriformes,Amidostomum acutum,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Amidostomum anseris,helminth,1,0,0,0,1,0
Anser anser,Anseriformes,Amidostomum anseris,helminth,1,0,0,0,1,0
Homo sapiens,Primates,Angiostrongylus cantonensis,helminth,1,0,1,0,0,0
Homo sapiens,Primates,Angiostrongylus costaricensis,helminth,1,0,1,0,0,0
Physeter macrocephalus,Artiodactyla,Anisakis physeteris,helminth,1,0,0,0,1,0
Cervus elaphus,Artiodactyla,Aonchotheca bovis,helminth,1,0,0,0,1,0
Martes pennanti,Carnivora,Aonchotheca putorii,helminth,1,0,0,0,0,0
Mustela erminea,Carnivora,Aonchotheca putorii,helminth,1,0,0,0,0,0
Anas platyrhynchos,Anseriformes,Aploparaksis furcigera,helminth,1,0,0,0,1,0
Cyprinus carpio,Cypriniformes,Archigetes iowensis,helminth,1,0,0,0,0,0
Cyprinus carpio,Cypriniformes,Archigetes sieboldi,helminth,1,0,0,0,1,0
Homo sapiens,Primates,Ascaris lumbricoides,helminth,1,0,1,0,0,0
Homo sapiens,Primates,Ascaris suum,helminth,1,0,1,0,0,0
Cyprinus carpio,Cypriniformes,Atractolytocestus sagittatus,helminth,1,0,0,0,0,0
Anas platyrhynchos,Anseriformes,Avioserpens galliardi,helminth,1,0,0,0,0,0
Anas platyrhynchos,Anseriformes,Avioserpens mosgovoyi,helminth,1,0,0,0,0,0
Anas platyrhynchos,Anseriformes,Avioserpens taiwana,helminth,1,0,0,0,0,0
Rangifer tarandus,Artiodactyla,Avitellina arctica,helminth,1,0,0,0,1,0
Martes pennanti,Carnivora,Baylisascaris devosi,helminth,1,0,0,1,1,0
Ursus americanus,Carnivora,Baylisascaris transfuga,helminth,1,0,1,1,1,0
Ursus maritimus,Carnivora,Baylisascaris transfuga,helminth,1,0,1,1,1,0
Homo sapiens,Primates,Bertiella mucronata,helminth,1,0,1,0,0,0
Homo sapiens,Primates,Bertiella studeri,helminth,1,0,1,0,0,0
Macaca mulatta,Primates,Bertiella studeri,helminth,1,0,1,1,1,0
Pan troglodytes,Primates,Bertiella studeri,helminth,1,0,1,1,1,0
Cyprinus carpio,Cypriniformes,Bothriocephalus acheilognathi,helminth,1,0,1,0,1,0
Esox lucius,Esociformes,Bothriocephalus cuspidatus,helminth,1,0,0,0,1,0
Esox lucius,Esociformes,Camallanus lacustris,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Capillaria anatis,helminth,1,0,0,0,1,0
Anser anser,Anseriformes,Capillaria anatis,helminth,1,0,0,0,1,0
Cyprinus carpio,Cypriniformes,Caryophyllaeus laticeps,helminth,1,0,0,0,1,0
Haliaeetus albicilla,Accipitriformes,Centrorhynchus aluconis,helminth,1,0,0,0,1,0
Milvus migrans,Accipitriformes,Centrorhynchus milvus,helminth,1,0,0,0,1,0
Bonasa umbellus,Galliformes,Cheilospirura spinosa,helminth,1,0,0,0,1,0
Falco peregrinus,Falconiformes,Cladotaenia circi,helminth,1,0,0,0,1,0
Pernis apivorus,Accipitriformes,Cladotaenia globifera,helminth,1,0,0,0,0,0
Anas fulvigula,Anseriformes,Cloacotaenia megalops,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Cloacotaenia megalops,helminth,1,0,0,0,1,0
Phalacrocorax auritus,Pelecaniformes,Contracaecum multipapillatum,helminth,1,0,0,0,1,0
Thalassarche melanophris,Procellariiformes,Contracaecum pelagicum,helminth,1,0,0,0,0,0
Phalacrocorax auritus,Pelecaniformes,Contracaecum rudolphii,helminth,1,0,1,0,1,0
Arctocephalus australis,Carnivora,Corynosoma australe,helminth,1,0,0,1,1,0
Mirounga leonina,Carnivora,Corynosoma bullosum,helminth,1,0,0,0,1,0
Mustela erminea,Carnivora,Crenosoma petrowi,helminth,1,0,0,0,0,0
Ursus americanus,Carnivora,Crenosoma petrowi,helminth,1,0,0,0,1,0
Canis lupus,Carnivora,Crenosoma vulpis,helminth,1,0,0,1,1,0
Ursus americanus,Carnivora,Crenosoma vulpis,helminth,1,0,0,1,1,0
Anas platyrhynchos,Anseriformes,Cyathostoma bronchialis,helminth,1,0,0,0,0,0
Anser anser,Anseriformes,Cyathostoma bronchialis,helminth,1,0,0,0,0,0
Phalacrocorax auritus,Pelecaniformes,Cyclustera ibisae,helminth,1,0,0,0,1,0
Milvus migrans,Accipitriformes,Cyrnea mansioni,helminth,1,0,0,0,0,0
Oncorhynchus tshawytscha,Salmoniformes,Cystidicola farionis,helminth,1,0,0,0,1,0
Bonasa umbellus,Galliformes,Davainea tetraoensis,helminth,1,0,0,0,0,0
Anas fulvigula,Anseriformes,Dicranotaenia coronula,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Dicranotaenia coronula,helminth,1,0,0,0,1,0
Anser anser,Anseriformes,Dicranotaenia coronula,helminth,1,0,0,0,1,0
Alces alces,Artiodactyla,Dictyocaulus eckerti,helminth,1,0,1,1,1,0
Cervus elaphus,Artiodactyla,Dictyocaulus eckerti,helminth,1,0,1,1,1,0
Cervus elaphus,Artiodactyla,Dictyocaulus viviparus,helminth,1,0,1,1,1,0
Canis lupus,Carnivora,Dioctophyma renale,helminth,1,0,0,1,0,0
Homo sapiens,Primates,Dioctophyma renale,helminth,1,0,0,0,0,0
Anas platyrhynchos,Anseriformes,Diorchis asiatica,helminth,1,0,0,0,1,0
Anas fulvigula,Anseriformes,Diorchis bulbodes,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Diorchis bulbodes,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Diorchis nyrocae,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Diorchis parvogenitalis,helminth,1,0,0,0,1,0
Homo sapiens,Primates,Diphyllobothrium dendriticum,helminth,1,0,1,0,0,0
Sterna hirundo,Charadriiformes,Diphyllobothrium dendriticum,helminth,1,0,1,0,1,0
Ursus americanus,Carnivora,Diphyllobothrium dendriticum,helminth,1,0,1,0,1,0
Gavia immer,Gaviiformes,Diphyllobothrium ditremum,helminth,1,0,0,0,1,0
Homo sapiens,Primates,Diphyllobothrium latum,helminth,1,0,1,0,0,0
Homo sapiens,Primates,Diphyllobothrium nihonkaiense,helminth,1,0,1,0,0,0
Homo sapiens,Primates,Diplogonoporus balaenopterae,helminth,1,0,1,0,0,0
Anas fulvigula,Anseriformes,Diploposthe laevis,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Diploposthe laevis,helminth,1,0,0,0,1,0
Canis lupus,Carnivora,Dipylidium caninum,helminth,1,0,1,1,1,0
Bonasa umbellus,Galliformes,Dispharynx nasuta,helminth,1,0,0,0,1,0
Chelydra serpentina,Testudines,Dracunculus globocephalus,helminth,1,0,0,0,0,0
Mustela erminea,Carnivora,Dracunculus insignis,helminth,1,0,0,0,0,0
Homo sapiens,Primates,Dracunculus medinensis,helminth,1,0,1,0,0,0
Macaca mulatta,Primates,Dracunculus medinensis,helminth,1,0,1,0,1,0
Anas platyrhynchos,Anseriformes,Drepanidotaenia lanceolata,helminth,1,0,0,0,1,0
Anser anser,Anseriformes,Drepanidotaenia lanceolata,helminth,1,0,0,0,1,0
Chen caerulescens,Anseriformes,Drepanidotaenia lanceolata,helminth,1,0,0,0,1,0
Canis lupus,Carnivora,Echinococcus borealis,helminth,1,0,0,0,0,0
Canis lupus,Carnivora,Echinococcus canadensis,helminth,1,0,1,0,0,0
Canis lupus,Carnivora,Echinococcus multilocularis,helminth,1,0,1,1,1,0
Anas fulvigula,Anseriformes,Echinocotyle rosseteri,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Echinocotyle rosseteri,helminth,1,0,0,0,1,0
Esox lucius,Esociformes,Echinorhynchus borealis,helminth,1,0,0,0,0,0
Oncorhynchus tshawytscha,Salmoniformes,Echinorhynchus salmonis,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Echinuria uncinata,helminth,1,0,0,0,1,0
Alces alces,Artiodactyla,Elaphostrongylus alces,helminth,1,0,1,1,1,0
Rangifer tarandus,Artiodactyla,Elaphostrongylus alces,helminth,1,0,1,1,1,0
Cervus elaphus,Artiodactyla,Elaphostrongylus cervi,helminth,1,0,1,1,1,0
Alces alces,Artiodactyla,Elaphostrongylus rangiferi,helminth,1,0,1,1,1,0
Rangifer tarandus,Artiodactyla,Elaphostrongylus rangiferi,helminth,1,0,1,1,1,0
