Ref_ID,First_Author,Author_All,Journal,YearPublished,Title,Database,DateAccessed,DOI,ISBN
439,Fagerlund,Fagerlund,GEN COMP ENDOCRINOL,1967,Plasma cortisol concentration in relation to stress in adult sockeye salmon during the freshwater stage of their life cycle,null,null,10.1016/0016-6480(67)90066-4,null
240,Neaves,Neaves,BIOL REPROD,1973,Changes in testicular leydig cells and in plasma testosterone levels among seasonally breeding rock hyrax,null,null,null,null
239,McMillin,"McMillin, Seal, Keenlyne, Erickson, Jones",ENDOCRINOL,1974,Annual testosterone rhythm in the adult white-tailed deer (Odocoileus virginianus borealis),null,null,10.1210/endo-94-4-1034,null
504,D'Istria,"D'Istria, Delrio, Botte, Chieffe",STEROIDS LIPIDS RES,1974,"Radioimmunoassay of testosterone, 17P-oestradiol and oestrone in the male and female plasma of Rana esculenta during sexual cycle",null,null,null,null
329,Baverstock,"Baverstock, Bradshaw",COMP BIOCHEM PHYS A,1975,Variation in rate of growth and adrenal corticosteroidogenesis in field and laboratory populations of the lizard Amphibolurus urnatus,null,null,10.1016/S0300-9629(75)80081-8,null
634,Krutzsch,"Krutzsch, Watson, Lox",ANAT REC,1976,"Reproductive biology of the male leaf-nosed bat, Macrotus waterhousii in southwestern United States",null,null,10.1002/ar.1091840403,null
204,Kirkpatrick,"Kirkpatrick, Vail, Devous, Schwend, Baker, Wiesner",BIOL REPROD,1976,Diurnal variation of plasma testosterone in wild stallions,null,null,10.1095/biolreprod15.1.98 ,null
237,Gustafson,"Gustafson, Shemesh",BIOL REPROD,1976,"Changes in plasma testosterone levels during the annual reproductive cycle of the hibernating bat, Myotis lucifugus lucifugus with a survey  of plasma testosterone levels in adult male vertebrates",null,null,null,null
533,Rastogi,"Rastogi, Iela, Saxena, Chieffi",J EXP ZOOL,1976,"The control of spermatogenesis in the green frog, Rana esculenta",null,null,10.1002/jez.1401960203,null
138,Gorman,Gorman,J REPROD FERT,1977,Sexual behaviour and plasma androgen concentrations in the male eider duck (Somateria mollissima),null,null,10.1530/jrf.0.0490225,null
116,Lisano,"Lisano, Kennamer",J WILDL MANAG,1977,Seasonal variations in plasma testosterone level in male eastern wild turkeys,null,null,10.2307/3800592,null
327,Arslan,"Arslan, Lobo, Zaidi, Qazi",GEN COMP ENDOCR,1978,"Annual androgen rhythm in the spiny-tailed lizard, Uromastix hardwicki",null,null,10.1016/0016-6480(78)90044-8,null
148,Péczely,"Péczely, Pethes",ACTA PHYSIOL HUNG,1979,Alterations in plasma sexual steroid concentrations in the collared dove (Streptopelia decaocto) during the sexual maturation and reproduction cycle,null,null,null,null
503,Delrio,"Delrio, D'Istria, Ielu, Chieffi",B ZOOL,1979,The possible significance of testosterone in the female green frog Rana esculenta,null,null,10.1080/11250007909440271,null
124,Berry,"Berry, Millar, Louw",COMP BIOCHEM PHYSIOL,1979,Environmental cues influencing the breeding biology and circulating levels of various hormones and triglycerides in the cape cormorant,null,null,10.1016/0300-9629(79)90021-5,null
336,Courty,"Courty, Dufaure",GEN COMP ENDOCR,1980,"Levels of testosterone, dihydrotesterone, and androstenedione in the plasma and testis of a lizard (Lacerta vivipara Jacquin) during the annual cycle",null,null,10.1016/0016-6480(80)90163-X,null
155,Lincoln,"Lincoln, Racey, Sharp, Klandorf",J ZOOL LOND,1980,"Endocrine changes associated with spring and autumn sexuality of the rook, Corvus frugilegus",null,null,10.1111/j.1469-7998.1980.tb07764.x,null
150,Schwabl,"Schwabl, Wingfield, Farner",VOGELWARTE,1980,Seasonal variation in plasma levels of luteinizing hormone and steroid hormones in the European blackbird Turdus merula,null,null,http://www.jstor.org/stable/3676831,null
395,Weil,"Weil, Aldridge",GEN COMP ENDOCR,1981,"Seasonal androgenesis in the male water snake, Nerodia sipedon",null,null,10.1016/0016-6480(81)90354-3,null
341,Gorman,"Gorman, Licht, McCollum",J HERPETOL,1981,Annual reproductive patterns in three species of marine snakes from the central Phillippines,null,null,10.2307/1563438,null
349,Johnson,"Johnson, Jacob, Torrance",HERPETOLOGICA,1982,Annual testicular and androgenic cycles of the cottonmouth (Agkistrodon piscivorus) in Alabama,null,null,http://www.jstor.org/stable/3892358,null
147,Moore,Moore,HORM BEHAV,1982,Hormonal response of free-living male white-crowned sparrows to experimental manipulation of female sexual behavior,null,null,10.1016/0018-506X(82)90030-7,null
200,Inns,Inns,J REPROD FERT,1982,"Seasonal changes in the accessory reproductive system and plasma testosterone levels in the male tammar wallaby, Macropus eugenii, in the wild",null,null,10.1530/jrf.0.0660675 ,null
160,Silverin,"Silverin, Wingfield",J ZOOL LOND,1982,"Patterns of breeding behaviour and plasma levels of hormones in a free-living population of pied flycatchers, Ficedula hypoleuca",null,null,10.1111/j.1469-7998.1982.tb02064.x,null
140,Dawson,Dawson,GEN COMP ENDOCRINOL,1983,Plasma gonadal steroid levels in wild starlings (Sturnus vulgaris) during the annual cycle and in relation to the stages of breeding,null,null,10.1016/0016-6480(83)90146-6,null
261,Dawson,"Dawson, Howe",GEN COMP ENDOCRINOL,1983,Plasma corticosterone in wild starlings (Sturnus vulgaris) immediately following capture and in relation to body weight during the annual cycle,null,null,10.1016/0016-6480(83)90085-0,null
