species
Aepyceros melampus
Alces alces
Alouatta belzebul
Alouatta caraya
Alouatta seniculus
Antidorcas marsupialis
Aotus trivirgatus
Ateles paniscus
Axis axis
Bison bison
Bison bonasus
Canis aureus
Canis latrans
Canis lupus
Capreolus capreolus
Capricornis crispus
Ceratotherium simum
Cercopithecus ascanius
Cervus elaphus
Cervus nippon
Chlorocebus pygerythrus
Chrysocyon brachyurus
Connochaetes taurinus
Dama dama
Damaliscus lunatus
Diceros bicornis
Equus burchellii
Equus zebra
Felis silvestris
Genetta genetta
Giraffa camelopardalis
Gorilla beringei
Gorilla gorilla
Herpestes ichneumon
Hippotragus equinus
Hippotragus niger
Kobus ellipsiprymnus
Leopardus pardalis
Lontra canadensis
Lophocebus albigena
Lycalopex gymnocercus
Lynx lynx
Lynx pardinus
Lynx rufus
Macaca fuscata
Mandrillus sphinx
Martes foina
Meles meles
Mephitis mephitis
Mustela erminea
Mustela putorius
Neovison vison
Nyctereutes procyonoides
Odocoileus hemionus
Odocoileus virginianus
Ovis aries
Ovis canadensis
Ozotoceros bezoarticus
Pan troglodytes
Panthera leo
Papio anubis
Papio cynocephalus
Papio papio
Papio ursinus
Phacochoerus aethiopicus
Phoca vitulina
Piliocolobus badius
Pithecia pithecia
Procyon lotor
Puma concolor
Rangifer tarandus
Rupicapra pyrenaica
Rupicapra rupicapra
Saguinus midas
Semnopithecus entellus
Sus scrofa
Syncerus caffer
Taurotragus oryx
Taxidea taxus
Tragelaphus angasii
Tragelaphus scriptus
Tragelaphus strepsiceros
Urocyon cinereoargenteus
Urocyon littoralis
Ursus americanus
Vulpes lagopus
Vulpes velox
Vulpes vulpes
Zalophus californianus
