MSW_Order,MSW_Binomial,ActivityCycle,AgeatEyeOpening_d,AgeatFirstBirth_d,BasalMetRate_mLOhr,DietBreadth,DispersalAge_d,GestationLen_d,HabitatBreadth,HomeRange_km,HomeRange_Indiv_km,InterbirthInterval_d,LitterSize,LittersPerYear,MaxLongevity_m,PopulationDensity_n_km,PopulationGrpSize,SexualMaturityAge_d,SocialGrpSize,TeatNumber,Terrestriality,TrophicLevel,WeaningAge_d,AdultBodyMass_g_EXT,LittersPerYear_EXT,NeonateBodyMass_g_EXT,WeaningBodyMass_g_EXT,GR_Area_km,GR_MaxLat_dd,GR_MinLat_dd,GR_MidRangeLat_dd,GR_MaxLong_dd,GR_MinLong_dd,GR_MidRangeLong_dd,HuPopDen_Mean_n_km,HuPopDen_Change,ref_count
Artiodactyla,Camelus dromedarius,3,NA,1651.62,40293,3,NA,386.51,1,196.32,NA,614.41,0.98,1,480,0.98,11,1947.94,10,NA,1,1,389.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
Carnivora,Canis adustus,1,NA,NA,NA,6,329.99,65,1,1.01,1.01,NA,4.5,NA,137,0.74,NA,249.88,NA,8,1,2,52.89,NA,NA,NA,NA,10581413.14,16.72,-28.73,-6,43.55,-17.53,13,35.2,0.14,6
Carnivora,Canis aureus,2,7.5,NA,NA,6,NA,61.24,1,2.95,3.13,365,3.74,NA,192,0.22,NA,371.23,NA,8,1,2,61.3,NA,1.1,NA,NA,25739527.43,47,-4.71,21.14,108.54,-17.05,45.74,79.29,0.1,6
Carnivora,Canis latrans,2,11.94,365,3699,1,255,61.74,1,18.88,19.91,365,5.72,NA,262,0.25,NA,372.9,NA,8,1,3,43.71,NA,1.1,NA,NA,17099094.3,71.39,8.02,39.7,-67.07,-168.12,-117.6,27.27,0.06,8
Carnivora,Canis lupus,2,14.01,547.5,11254.2,1,180,63.5,1,159.86,43.13,365,4.98,2,354,0.01,NA,679.37,NA,9,1,3,44.82,NA,NA,NA,NA,50803439.7,83.27,11.48,47.38,179.65,-171.84,3.9,37.87,0.04,11
Artiodactyla,Bos frontalis,2,NA,NA,NA,3,NA,273.75,NA,NA,NA,403.02,1.22,1,314.4,0.54,NA,610.97,40,NA,NA,1,186.67,NA,NA,NA,NA,2294331.63,28.01,2.86,15.43,108.68,73.55,91.12,152.67,0.09,8
Artiodactyla,Bos grunniens,NA,NA,NA,NA,2,NA,273.75,NA,NA,NA,NA,1,1,267,NA,NA,755.15,110,NA,NA,1,243.33,NA,NA,NA,NA,1523540.07,38.88,29.66,34.27,99.23,75.91,87.57,2.03,0.05,5
Artiodactyla,Bos javanicus,2,NA,912.5,NA,2,NA,296.78,1,NA,NA,NA,1.22,1,318.96,0.75,21,797.31,40,NA,1,1,287.74,NA,NA,NA,NA,1687920.66,25.08,-8.78,8.15,118.35,94.94,106.64,139.21,0.11,7
Primates,Callicebus cupreus,3,NA,NA,NA,NA,NA,129.25,1,NA,NA,395.41,1.01,NA,NA,4.89,NA,NA,2.05,NA,2,NA,201.85,NA,1.05,NA,NA,690923.14,-2.5,-10.67,-6.58,-61.59,-74.92,-68.25,1.07,0.05,9
Primates,Callicebus discolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primates,Callicebus donacophilus,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.02,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,288759.02,-10.45,-21.29,-15.87,-57.52,-67.21,-62.37,3.63,0.17,4
Primates,Callicebus dubius,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.02,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Primates,Callicebus hoffmannsi,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.02,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,98076.46,-1.95,-6,-3.97,-54.87,-59.21,-57.04,2.6,0.1,4
Primates,Callicebus lucifer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primates,Callicebus lugens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primates,Callicebus medemi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36587.57,0.95,-1.66,-0.35,-74.42,-76.71,-75.56,5.6,0.15,NA
Primates,Callicebus melanochir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60497.71,-12.83,-18.16,-15.5,-38.72,-40.46,-39.59,46.93,0.08,NA
Primates,Callicebus modestus,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.02,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,17288.42,-14.25,-15.67,-14.96,-65.93,-67.39,-66.66,2.76,0.47,3
Didelphimorphia,Caluromys derbianus,1,NA,NA,215.11,3,NA,NA,1,NA,NA,NA,3.14,NA,60,11.86,NA,251.71,1,NA,2,2,NA,NA,NA,NA,NA,678553.48,20.73,-2.92,8.9,-76.63,-98.33,-87.48,53.45,0.14,11
Didelphimorphia,Caluromys lanatus,1,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,60,NA,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,3683731.12,9.07,-28.1,-9.51,-53.2,-77.39,-65.29,5.36,0.13,5
Didelphimorphia,Caluromys philander,1,75,334.58,NA,4,NA,23.99,2,0.009960363,0.02,166.5,4.18,2,76,62.32,NA,314.52,1,7,2,2,119.65,NA,NA,NA,NA,3212264.13,12.2,-24.58,-6.19,-40.35,-72.87,-56.61,39.68,0.12,18
Didelphimorphia,Caluromysiops irrupta,1,NA,NA,NA,3,NA,NA,1,NA,NA,NA,2,NA,94,8.85,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,188864.44,-9.34,-12.69,-11.01,-61.99,-73.48,-67.73,3.51,0.27,6
Cingulata,Calyptophractus retusus,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1081453.8,-12.69,-29.92,-21.3,-56.47,-65.76,-61.11,4.33,0.12,4
Artiodactyla,Camelus bactrianus,NA,NA,1460,NA,2,NA,397.99,1,NA,NA,730,1.39,1,480,0.06,NA,1330.6,6.2,NA,1,1,368.13,NA,NA,NA,NA,188693,44.71,37.98,41.34,97.58,90.75,94.17,1.83,0.01,9
Artiodactyla,Bos sauveli,2,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,755.15,20,NA,1,1,NA,NA,NA,NA,NA,115557.18,15.48,12.04,13.76,107.85,102.98,105.42,36.95,0.12,4
Artiodactyla,Bos taurus,NA,NA,NA,NA,NA,NA,280.48,NA,10.04,NA,NA,NA,1,240,NA,NA,755.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,44447.62,15.08,11.85,13.46,108.99,107.08,108.04,42.48,0.15,6
Artiodactyla,Boselaphus tragocamelus,NA,NA,912.5,NA,5,NA,248.49,NA,NA,NA,400.5,1.39,NA,260.4,2.39,NA,NA,NA,NA,NA,1,NA,NA,1.05,NA,NA,2192564.81,33,11.71,22.35,87.08,68.93,78,313.3,0.09,6
