variable,var_type,var_type
MSW_Order,taxonomy,other
MSW_Family,taxonomy,other
MSW_Genus,taxonomy,other
MSW_Species,taxonomy,other
MSW_Binomial,taxonomy,other
ActivityCycle,behavior,host
AdultBodyMass_g,morphology,host
AdultForearmLen_mm,morphology,host
AdultHeadBodyLen_mm,morphology,host
AgeatEyeOpening_d,pace,host
AgeatFirstBirth_d,pace,host
BasalMetRate_mLOhr,metabolic,host
BasalMetRateMass_g,metabolic,host
DietBreadth,behavior,ecology
DispersalAge_d,pace,host
GestationLen_d,pace,host
HabitatBreadth,environment,host
HomeRange_km,environment,geography
HomeRange_Indiv_km,environment,geography
InterbirthInterval_d,pace,host
LitterSize,pace,host
LittersPerYear,pace,host
MaxLongevity_m,pace,host
NeonateBodyMass_g,morphology,host
NeonateHeadBodyLen_mm,morphology,host
PopulationDensity_n_km,environment,host
PopulationGrpSize,behavior,host
SexualMaturityAge_d,pace,host
SocialGrpSize,behavior,host
TeatNumber,morphology,host
Terrestriality,environment,host
TrophicLevel,behavior,ecology
WeaningAge_d,pace,host
WeaningBodyMass_g,morphology,host
WeaningHeadBodyLen_mm,morphology,host
References,other,other
AdultBodyMass_g_EXT,morphology,host
LittersPerYear_EXT,pace,host
NeonateBodyMass_g_EXT,morphology,host
WeaningBodyMass_g_EXT,morphology,host
GR_Area_km,environment,geography
GR_MaxLat_dd,environment,geography
GR_MinLat_dd,environment,geography
GR_MidRangeLat_dd,environment,geography
GR_MaxLong_dd,environment,geography
GR_MinLong_dd,environment,geography
GR_MidRangeLong_dd,environment,geography
HuPopDen_Min_n_km,anthropogenic,ecology
HuPopDen_Mean_n_km,anthropogenic,ecology
HuPopDen_p_n_km,anthropogenic,ecology
HuPopDen_Change,anthropogenic,ecology
Precip_Mean_mm,environment,ecology
Temp_Mean_degC,environment,ecology
AET_Mean_mm,environment,ecology
PET_Mean_mm,environment,ecology
ref_count,other,other
