variable,var_type
MSW_Order,taxonomy
MSW_Family,taxonomy
MSW_Genus,taxonomy
MSW_Species,taxonomy
MSW_Binomial,taxonomy
ActivityCycle,host
AdultBodyMass_g,host
AdultForearmLen_mm,host
AdultHeadBodyLen_mm,host
AgeatEyeOpening_d,host
AgeatFirstBirth_d,host
BasalMetRate_mLOhr,host
BasalMetRateMass_g,host
DietBreadth,ecology
DispersalAge_d,host
GestationLen_d,host
HabitatBreadth,host
HomeRange_km,geography
HomeRange_Indiv_km,geography
InterbirthInterval_d,host
LitterSize,host
LittersPerYear,host
MaxLongevity_m,host
NeonateBodyMass_g,host
NeonateHeadBodyLen_mm,host
PopulationDensity_n_km,host
PopulationGrpSize,host
SexualMaturityAge_d,host
SocialGrpSize,host
TeatNumber,host
Terrestriality,host
TrophicLevel,ecology
WeaningAge_d,host
WeaningBodyMass_g,host
WeaningHeadBodyLen_mm,host
References,other
AdultBodyMass_g_EXT,host
LittersPerYear_EXT,host
NeonateBodyMass_g_EXT,host
WeaningBodyMass_g_EXT,host
GR_Area_km,geography
GR_MaxLat_dd,geography
GR_MinLat_dd,geography
GR_MidRangeLat_dd,geography
GR_MaxLong_dd,geography
GR_MinLong_dd,geography
GR_MidRangeLong_dd,geography
HuPopDen_Min_n_km,ecology
HuPopDen_Mean_n_km,ecology
HuPopDen_p_n_km,ecology
HuPopDen_Change,ecology
Precip_Mean_mm,ecology
Temp_Mean_degC,ecology
AET_Mean_mm,ecology
PET_Mean_mm,ecology
ref_count,other
