"","Host.species","Host.common.name","Parasite.species","Parasite.genus","Parasite.group","Typical.host","Host.no","Site","Host.habitat","Vert.group","Facultative","source"
"1","Homo_sapiens","man","Abbreviata caucasica","Abbreviata","nematode","atypical",2,"stomach","terrestrial","mammal","no","Banesh"
"2","Homo_sapiens","humans","Angiostrongylus cantonensis","Angiostrongylus","nematode","atypical",3,"heart; pulmonary arteries","terrestrial","mammal","no","Banesh"
"3","Homo_sapiens","humans","Angiostrongylus costaricensis","Angiostrongylus","nematode","atypical",2,"mesenteric arteries","terrestrial","mammal","no","Banesh"
"4","Homo_sapiens","man","Ascaris lumbricoides","Ascaris","nematode","typical",1,"gut","terrestrial","mammal","no","Banesh"
"5","Homo_sapiens","man","Ascaris suum","Ascaris","nematode","atypical",1,"gut","terrestrial","mammal","no","Banesh"
"6","Homo_sapiens","human","Bertiella mucronata","Bertiella","cestode","atypical",2,"gut","terrestrial","mammal","no","Banesh"
"7","Homo_sapiens","human","Bertiella studeri","Bertiella","cestode","atypical",2,"gut","terrestrial","mammal","no","Banesh"
"8","Homo_sapiens","man","Dioctophyma renale","Dioctophyma","nematode","atypical",3,"kidneys","terrestrial","mammal","no","Banesh"
"9","Homo_sapiens","man","Diphyllobothrium dendriticum","Diphyllobothrium","cestode","atypical",4,"gut","terrestrial","mammal","no","Banesh"
"10","Homo_sapiens","man","Diphyllobothrium latum","Diphyllobothrium","cestode","typical",4,"gut","terrestrial","mammal","no","Banesh"
"11","Homo_sapiens","man","Diphyllobothrium nihonkaiense","Diphyllobothrium","cestode","typical",4,"gut","terrestrial","mammal","no","Banesh"
"12","Homo_sapiens","man","Diplogonoporus balaenopterae","Diplogonoporus","cestode","atypical",3,"gut","terrestrial","mammal","no","Banesh"
"13","Homo_sapiens","man","Dracunculus medinensis","Dracunculus","nematode","typical",2,"subcutaneous","terrestrial","mammal","no","Banesh"
"14","Homo_sapiens","man","Enterobius vermicularis","Enterobius","nematode","typical",1,"gut","terrestrial","mammal","no","Banesh"
"15","Homo_sapiens","man","Gongylonema pulchrum","Gongylonema","nematode","atypical",2,"mucosa of mouth; tongue; esophagus","terrestrial","mammal","no","Banesh"
"16","Homo_sapiens","man","Hymenolepis nana","Hymenolepis","cestode","atypical",2,"gut","terrestrial","mammal","no","Banesh"
"17","Homo_sapiens","man","Lagochilascaris minor","Lagochilascaris","nematode","atypical",2,"larynx; pharynx","terrestrial","mammal","no","Banesh"
"18","Homo_sapiens","man","Metastrongylus apri","Metastrongylus","nematode","atypical",2,"lungs","terrestrial","mammal","no","Banesh"
"19","Homo_sapiens","man","Oesophagostomum bifurcum","Oesophagostomum","nematode","typical",1,"gut","terrestrial","mammal","no","Banesh"
"20","Homo_sapiens","humans","Paracapillaria philippinensis","Paracapillaria","nematode","atypical",2,"gut","terrestrial","mammal","no","Banesh"
"21","Homo_sapiens","man","Taenia asiatica","Taenia","cestode","typical",2,"gut","terrestrial","mammal","no","Banesh"
"22","Homo_sapiens","man","Taenia saginata","Taenia","cestode","typical",2,"gut","terrestrial","mammal","no","Banesh"
"23","Homo_sapiens","man","Taenia solium","Taenia","cestode","typical",2,"gut","terrestrial","mammal","no","Banesh"
"24","Homo_sapiens","man","Trichuris suis","Trichuris","nematode","typical",1,"gut","terrestrial","mammal","no","Banesh"
"25","Homo_sapiens","man","Trichuris trichiura","Trichuris","nematode","typical",1,"gut","terrestrial","mammal","no","Banesh"
"26","Homo_sapiens","man","Trichuris vulpis","Trichuris","nematode","atypical",1,"gut","terrestrial","mammal","no","Banesh"
"27","Cyprinus_carpio","carp","Acanthocephalus dirus","Acanthocephalus","acanthocephalan","atypical",2,"gut","freshwater","fish","no","Banesh"
"28","Cyprinus_carpio","carp","Archigetes iowensis","Archigetes","cestode","typical",2,"gut","freshwater","fish","progenetic","Banesh"
"29","Cyprinus_carpio","carp","Archigetes sieboldi","Archigetes","cestode","typical",2,"gut","freshwater","fish","progenetic","Banesh"
"30","Cyprinus_carpio","carp","Atractolytocestus sagittatus","Atractolytocestus","cestode","typical",2,"gut","freshwater","fish","no","Banesh"
"31","Cyprinus_carpio","carp","Bothriocephalus acheilognathi","Bothriocephalus","cestode","typical",2,"gut","freshwater","fish","no","Banesh"
"32","Cyprinus_carpio","carp","Caryophyllaeus laticeps","Caryophyllaeus","cestode","typical",2,"gut","freshwater","fish","no","Banesh"
"33","Cyprinus_carpio","carp","Khawia japonensis","Khawia","cestode","typical",2,"gut","freshwater","fish","no","Banesh"
