hHostNameFinal,hOrder,vVirusNameCorrected,paraType,source
Abrothrix_longipilis,RODENTIA,Andes_virus,virus,brook
Calomys_tener,RODENTIA,Andes_virus,virus,brook
Necromys_obscurus,RODENTIA,Andes_virus,virus,brook
Thaptomys_nigrita,RODENTIA,Andes_virus,virus,brook
Oligoryzomys_flavescens,RODENTIA,Andes_virus,virus,brook
Oligoryzomys_nigripes,RODENTIA,Andes_virus,virus,brook
Rattus_rattus,RODENTIA,Andes_virus,virus,brook
Oligoryzomys_chacoensis,RODENTIA,Andes_virus,virus,brook
Rattus_norvegicus,RODENTIA,Andes_virus,virus,brook
Necromys_benefactus,RODENTIA,Andes_virus,virus,brook
Oligoryzomys_fulvescens,RODENTIA,Andes_virus,virus,brook
Oligoryzomys_longicaudatus,RODENTIA,Andes_virus,virus,brook
Necromys_lasiurus,RODENTIA,Andes_virus,virus,brook
Loxodontomys_micropus,RODENTIA,Andes_virus,virus,brook
Akodon_montensis,RODENTIA,Andes_virus,virus,brook
Necromys_lasiurus,RODENTIA,Araraquara_virus,virus,brook
Saccolaimus_saccolaimus,CHIROPTERA,Australian_bat_lyssavirus,virus,brook
Saccolaimus_flaviventris,CHIROPTERA,Australian_bat_lyssavirus,virus,brook
Pteropus_scapulatus,CHIROPTERA,Australian_bat_lyssavirus,virus,brook
Pteropus_poliocephalus,CHIROPTERA,Australian_bat_lyssavirus,virus,brook
Pteropus_alecto,CHIROPTERA,Australian_bat_lyssavirus,virus,brook
Pteropus_conspicillatus,CHIROPTERA,Australian_bat_lyssavirus,virus,brook
Oryzomys_palustris,RODENTIA,Bayou_virus,virus,brook
Sigmodon_hispidus,RODENTIA,Black_Creek_Canal_virus,virus,brook
Crocidura_leucodon,EULIPOTYPHLA,Borna_disease_virus,virus,brook
Vulpes_vulpes,CARNIVORA,Borna_disease_virus,virus,brook
Macaca_fuscata,PRIMATES,Borna_disease_virus,virus,brook
Capra_hircus,CETARTIODACTYLA,Borna_disease_virus,virus,brook
Bos_taurus,CETARTIODACTYLA,Borna_disease_virus,virus,brook
Lama_glama,CETARTIODACTYLA,Borna_disease_virus,virus,brook
Lynx_lynx,CARNIVORA,Borna_disease_virus,virus,brook
Equus_caballus,PERISSODACTYLA,Borna_disease_virus,virus,brook
Ovis_aries,CETARTIODACTYLA,Borna_disease_virus,virus,brook
Sciurus_variegatoides,RODENTIA,Borna_disease_virus,virus,brook
Procyon_lotor,CARNIVORA,Borna_disease_virus,virus,brook
Equus_asinus,PERISSODACTYLA,Borna_disease_virus,virus,brook
Canis_lupus,CARNIVORA,Borna_disease_virus,virus,brook
Oryctolagus_cuniculus,LAGOMORPHA,Borna_disease_virus,virus,brook
Sus_scrofa,CETARTIODACTYLA,Borna_disease_virus,virus,brook
Bos_taurus,CETARTIODACTYLA,Bovine_papular_stomatitis_virus,virus,brook
Camelus_dromedarius,CETARTIODACTYLA,Camelpox_virus,virus,brook
Macaca_cyclopis,PRIMATES,Cercopithecine_herpesvirus_1,virus,brook
Macaca_arctoides,PRIMATES,Cercopithecine_herpesvirus_1,virus,brook
Macaca_mulatta,PRIMATES,Cercopithecine_herpesvirus_1,virus,brook
Macaca_radiata,PRIMATES,Cercopithecine_herpesvirus_1,virus,brook
Macaca_fascicularis,PRIMATES,Cercopithecine_herpesvirus_1,virus,brook
Macaca_nemestrina,PRIMATES,Cercopithecine_herpesvirus_1,virus,brook
Macaca_fuscata,PRIMATES,Cercopithecine_herpesvirus_1,virus,brook
Castor_fiber,RODENTIA,Cowpox_virus,virus,brook
Apodemus_sylvaticus,RODENTIA,Cowpox_virus,virus,brook
Myodes_glareolus,RODENTIA,Cowpox_virus,virus,brook
Spermophilus_fulvus,RODENTIA,Cowpox_virus,virus,brook
Microtus_oeconomus,RODENTIA,Cowpox_virus,virus,brook
Rhombomys_opimus,RODENTIA,Cowpox_virus,virus,brook
Myodes_rutilus,RODENTIA,Cowpox_virus,virus,brook
Felis_catus,CARNIVORA,Cowpox_virus,virus,brook
Bos_taurus,CETARTIODACTYLA,Cowpox_virus,virus,brook
Microtus_agrestis,RODENTIA,Cowpox_virus,virus,brook
Rattus_norvegicus,RODENTIA,Cowpox_virus,virus,brook
Myodes_rufocanus,RODENTIA,Cowpox_virus,virus,brook
Meriones_libycus,RODENTIA,Cowpox_virus,virus,brook
Apodemus_flavicollis,RODENTIA,Dobrava-Belgrade_virus,virus,brook
Apodemus_agrarius,RODENTIA,Dobrava-Belgrade_virus,virus,brook
Nycteris_thebaica,CHIROPTERA,Duvenhage_virus,virus,brook
Vespertilio_murinus,CHIROPTERA,Duvenhage_virus,virus,brook
Nyctalus_noctula,CHIROPTERA,Duvenhage_virus,virus,brook
Miniopterus_schreibersii,CHIROPTERA,Duvenhage_virus,virus,brook
Mus_booduga,RODENTIA,Encephalomyocarditis_virus,virus,brook
Ichneumia_albicauda,CARNIVORA,Encephalomyocarditis_virus,virus,brook
Didelphis_virginiana,DIDELPHIMORPHIA,Encephalomyocarditis_virus,virus,brook
Bos_taurus,CETARTIODACTYLA,Encephalomyocarditis_virus,virus,brook
Loxodonta_africana,PROBOSCIDEA,Encephalomyocarditis_virus,virus,brook
Macaca_mulatta,PRIMATES,Encephalomyocarditis_virus,virus,brook
Mus_musculus,RODENTIA,Encephalomyocarditis_virus,virus,brook
Pan_troglodytes,PRIMATES,Encephalomyocarditis_virus,virus,brook
Sciurus_vulgaris,RODENTIA,Encephalomyocarditis_virus,virus,brook
Saimiri_sciureus,PRIMATES,Encephalomyocarditis_virus,virus,brook
Sus_scrofa,CETARTIODACTYLA,Encephalomyocarditis_virus,virus,brook
Sigmodon_hispidus,RODENTIA,Encephalomyocarditis_virus,virus,brook
Procyon_lotor,CARNIVORA,Encephalomyocarditis_virus,virus,brook
Sciurus_carolinensis,RODENTIA,Encephalomyocarditis_virus,virus,brook
Hydromys_chrysogaster,RODENTIA,Encephalomyocarditis_virus,virus,brook
Aotus_trivirgatus,PRIMATES,Encephalomyocarditis_virus,virus,brook
Equus_caballus,PERISSODACTYLA,Encephalomyocarditis_virus,virus,brook
Rattus_rattus,RODENTIA,Encephalomyocarditis_virus,virus,brook
Proechimys_guyannensis,RODENTIA,Encephalomyocarditis_virus,virus,brook
Glis_glis,RODENTIA,Encephalomyocarditis_virus,virus,brook
Vespertilio_murinus,CHIROPTERA,European_bat_lyssavirus_1,virus,brook
Myotis_daubentonii,CHIROPTERA,European_bat_lyssavirus_1,virus,brook
Myotis_nattereri,CHIROPTERA,European_bat_lyssavirus_1,virus,brook
Eptesicus_serotinus,CHIROPTERA,European_bat_lyssavirus_1,virus,brook
Nyctalus_noctula,CHIROPTERA,European_bat_lyssavirus_1,virus,brook
Plecotus_auritus,CHIROPTERA,European_bat_lyssavirus_1,virus,brook
Myotis_dasycneme,CHIROPTERA,European_bat_lyssavirus_1,virus,brook
Barbastella_barbastellus,CHIROPTERA,European_bat_lyssavirus_1,virus,brook
Miniopterus_schreibersii,CHIROPTERA,European_bat_lyssavirus_1,virus,brook
Rousettus_aegyptiacus,CHIROPTERA,European_bat_lyssavirus_1,virus,brook
