Group,HostReportedName,HostCorrectedName,HostOrder,HostFamily,HostEnvironment,ParasiteReportedName,ParasiteCorrectedName,HasBinomialName,ParType,ParPhylum,ParClass,Citation,LocationName,Longitude,Latitude,PopulationType,SamplingBasis,SampleNotes,Prevalence,HostsSampled,HostSex,HostAge,Intensity,IntensityMeasure,NativeRange,NumSamples,SamplingType
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Ehrlichia phagocytophila,Anaplasma phagocytophilum,yes,Bacteria,Proteobacteria,Alphaproteobacteria,Jenkins et al 2001,"Marka, Porsgrunn, Norway",9.8,59.13,WN,NA,"organs-brain, spinal cord, skeletal muscles, lungs, heart, liver, kidneys, adrenal glands, spleen, a",1,1,NA,NA,NA,NA,Yes,1,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Ehrlichia phagocytophila,Anaplasma phagocytophilum,yes,Bacteria,Proteobacteria,Alphaproteobacteria,Jenkins et al 2001,"Marka, Porsgrunn, Norway",9.8,59.13,WN,NA,"organs-brain, spinal cord, skeletal muscles, lungs, heart, liver, kidneys, adrenal glands, spleen, a",1,1,Female,NA,NA,NA,Yes,1,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Ehrlichia phagocytophila,Anaplasma phagocytophilum,yes,Bacteria,Proteobacteria,Alphaproteobacteria,Jenkins et al 2001,"Marka, Porsgrunn, Norway",9.8,59.13,WN,NA,"organs-brain, spinal cord, skeletal muscles, lungs, heart, liver, kidneys, adrenal glands, spleen, a",1,1,NA,Juvenile,NA,NA,Yes,1,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Ehrlichia equi,Anaplasma phagocytophilum,yes,Bacteria,Proteobacteria,Alphaproteobacteria,Stuen et al 2002,"Buskerud County, NORWAY",9.08,60.51,WN,NA,blood,0.2,20,NA,NA,NA,NA,Yes,20,Serology
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Ehrlichia equi,Anaplasma phagocytophilum,yes,Bacteria,Proteobacteria,Alphaproteobacteria,Stuen et al 2002,"More og Romsdal, Norway",7.66,62.6,WN,NA,blood,0.15,27,NA,NA,NA,NA,Yes,27,Serology
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Ehrlichia equi,Anaplasma phagocytophilum,yes,Bacteria,Proteobacteria,Alphaproteobacteria,Stuen et al 2002,"Telemark county, Norway",9.03,59.46,WN,NA,blood,0.76,37,NA,NA,NA,NA,Yes,37,Serology
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Ehrlichia equi,Anaplasma phagocytophilum,yes,Bacteria,Proteobacteria,Alphaproteobacteria,Stuen et al 2002b,Norway,8.47,60.47,WO,Animals,Immunofluorescence antibody assay,0.43,104,NA,Adult,NA,NA,Yes,104,Serology
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Bacillus anthracis,Bacillus anthracis,yes,Bacteria,Firmicutes,Bacilli,Gates et al 1995,west of Great Slave Lake in the Northwest territories,115.09,61.45,WN,NA,"organs-ear; blood, anal and nasal swabs, sabs fomr incision made into edematous skin tissue",1,1,NA,NA,NA,NA,Yes,1,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Brucella suis biovar 4,Brucella suis,yes,Bacteria,Proteobacteria,Alphaproteobacteria,Edmonds et al 1999,"Colville River and associated drainages (near Umiat, North Slope Borough, Alaska)",-152.14,69.37,WN,NA,blood,NA,NA,NA,NA,NA,NA,Yes,NA,Serology
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Brucella suis biovar 4,Brucella suis,yes,Bacteria,Proteobacteria,Alphaproteobacteria,Honour and Hickling 1993,"Artic Red river, Canada",-133.71,67.45,WN,NA,organs-forelimbs,1,1,Female,NA,NA,NA,Yes,1,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Brucella suis biovar 4,Brucella suis,yes,Bacteria,Proteobacteria,Alphaproteobacteria,Honour and Hickling 1993,"Artic Red river, Canada",-133.71,67.45,WN,NA,organs-forelimbs,1,1,NA,NA,NA,NA,Yes,1,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Bunostomum trigonocephalum,Bunostomum trigonocephalum,yes,Helminth,Nematoda,Secernentea,Shimalov and Shimalov 2003a,Belarus,27.95,53.71,WO,Samples,Dissection and organ compression,0.278,18,NA,NA,NA,NA,Yes,18,DirectOther
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Cryptosporidium parvum,Cryptosporidium parvum,yes,Protozoa,Apicomplexa,Coccidia,Dubrovsky et al 1994,Russian forests,NA,NA,WN,NA,feces,NA,NA,NA,NA,NA,NA,Yes,NA,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Cryptosporidium parvum,Cryptosporidium parvum,yes,Protozoa,Apicomplexa,Coccidia,Hamnes et al 2006,"Vestfold, Norway",10.13,59.32,WN,Animals,sucrose flotation method,0.061,49,NA,NA,NA,NA,Yes,49,DirectFecal
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Cryptosporidium parvum,Cryptosporidium parvum,yes,Protozoa,Apicomplexa,Coccidia,Hamnes et al 2006,"Telemark, Norway",8.53,59.52,WN,Animals,sucrose flotation method,0.043,47,NA,NA,NA,NA,Yes,47,DirectFecal
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Cryptosporidium parvum,Cryptosporidium parvum,yes,Protozoa,Apicomplexa,Coccidia,Hamnes et al 2006,"Aust-Agder, Norway",8.08,58.67,WN,Animals,sucrose flotation method,0.053,38,NA,NA,NA,NA,Yes,38,DirectFecal
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Cryptosporidium parvum,Cryptosporidium parvum,yes,Protozoa,Apicomplexa,Coccidia,Hamnes et al 2006,"Nordland County, NORWAY",14.74,66.92,WN,Animals,sucrose flotation method,0.02,50,NA,NA,NA,NA,Yes,50,DirectFecal
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Cryptosporidium parvum,Cryptosporidium parvum,yes,Protozoa,Apicomplexa,Coccidia,Hamnes et al 2006,"Sor-Trondelag, Noway",10.39,63.12,WN,Animals,sucrose flotation method,0.05,60,NA,NA,NA,NA,Yes,60,DirectFecal
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Cryptosporidium parvum,Cryptosporidium parvum,yes,Protozoa,Apicomplexa,Coccidia,Hamnes et al 2006,"Vest-Agder, Norway",7.18,58.48,WN,Animals,sucrose flotation method,0.027,35,NA,NA,NA,NA,Yes,35,DirectFecal
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Cryptosporidium parvum,Cryptosporidium parvum,yes,Protozoa,Apicomplexa,Coccidia,Hamnes et al 2006,"Hedmark, Norway",11.41,61.45,WN,Animals,sucrose flotation method,0.024,82,NA,NA,NA,NA,Yes,82,DirectFecal
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Dermacentor albipictus,Dermacentor albipictus,yes,Arthropod,Arthropoda,Arachnida,Campbell et al 1994,"Algonquin Park, Ontario",-78.6,45.55,WN,NA,"organs-heart, lung, liver, kidney, peripheral lymph nodes",0.5,4,NA,Adult,NA,NA,Yes,2,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Dermacentor albipictus,Dermacentor albipictus,yes,Arthropod,Arthropoda,Arachnida,Campbell et al 1994,"Algonquin Park, Ontario",-78.6,45.55,WN,NA,"organs-heart, lung, liver, kidney, peripheral lymph nodes",0.75,4,NA,NA,NA,NA,Yes,4,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Dermacentor albipictus,Dermacentor albipictus,yes,Arthropod,Arthropoda,Arachnida,Campbell et al 1994,"Algonquin Park, Ontario",-78.6,45.55,WN,NA,"organs-heart, lung, liver, kidney, peripheral lymph nodes",0.75,4,Male,NA,NA,NA,Yes,4,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Dermacentor albipictus,Dermacentor albipictus,yes,Arthropod,Arthropoda,Arachnida,Campbell et al 1994,"Algonquin Park, Ontario",-78.6,45.55,WN,NA,"organs-heart, lung, liver, kidney, peripheral lymph nodes",1,4,NA,Juvenile,NA,NA,Yes,2,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Dermacentor albipictus,Dermacentor albipictus,yes,Arthropod,Arthropoda,Arachnida,Delgiudice et al 1997,"Isle Royale, Houghton Michigan",-88.91,48,WN,NA,observation of tick-induced hair damage during aerial surveys of moose,0.06,342,NA,NA,NA,NA,Yes,342,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Dermacentor albipictus,Dermacentor albipictus,yes,Arthropod,Arthropoda,Arachnida,Delgiudice et al 1997,"Isle Royale, Houghton Michigan",-88.91,48,WN,NA,organs-hides,1,2,NA,NA,NA,NA,Yes,2,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Dermacentor albipictus,Dermacentor albipictus,yes,Arthropod,Arthropoda,Arachnida,Delgiudice et al 1997,"Isle Royale, Houghton Michigan",-88.91,48,WN,NA,observation of tick-induced hair damage during aerial surveys of moose,0.13,260,NA,NA,NA,NA,Yes,260,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Dermacentor albipictus,Dermacentor albipictus,yes,Arthropod,Arthropoda,Arachnida,Delgiudice et al 1997,"Isle Royale, Houghton Michigan",-88.91,48,WN,NA,organs-hides,1,2,Female,NA,NA,NA,Yes,2,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Dermacentor albipictus,Dermacentor albipictus,yes,Arthropod,Arthropoda,Arachnida,Delgiudice et al 1997,"Isle Royale, Houghton Michigan",-88.91,48,WN,NA,observation of tick-induced hair damage during aerial surveys of moose,0.15,268,NA,NA,NA,NA,Yes,268,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Dermacentor albipictus,Dermacentor albipictus,yes,Arthropod,Arthropoda,Arachnida,Delgiudice et al 1997,"Isle Royale, Houghton Michigan",-88.91,48,WN,NA,observation of tick-induced hair damage during aerial surveys of moose,0.16,223,NA,NA,NA,NA,Yes,223,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Dermacentor albipictus,Dermacentor albipictus,yes,Arthropod,Arthropoda,Arachnida,Delgiudice et al 1997,"Isle Royale, Houghton Michigan",-88.91,48,WN,NA,observation of tick-induced hair damage during aerial surveys of moose,0.06,254,NA,NA,NA,NA,Yes,254,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Dermacentor albipictus,Dermacentor albipictus,yes,Arthropod,Arthropoda,Arachnida,Delgiudice et al 1997,"Isle Royale, Houghton Michigan",-88.91,48,WN,NA,observation of tick-induced hair damage during aerial surveys of moose,0.32,182,NA,NA,NA,NA,Yes,182,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Dermacentor albipictus,Dermacentor albipictus,yes,Arthropod,Arthropoda,Arachnida,Delgiudice et al 1997,"Isle Royale, Houghton Michigan",-88.91,48,WN,NA,organs-hides,1,2,NA,Adult,NA,NA,Yes,1,NA
ungulates,Alces alces,Alces alces,Artiodactyla,Cervidae,terrestrial,Dermacentor albipictus,Dermacentor albipictus,yes,Arthropod,Arthropoda,Arachnida,Delgiudice et al 1997,"Isle Royale, Houghton Michigan",-88.91,48,WN,NA,organs-hides,1,2,NA,Juvenile,NA,NA,Yes,1,NA
