Host,Parasite,paraType
Cyprinus carpio,Cestode larva,helminth
Cyprinus carpio,Proteocephalid plerocercoid,helminth
Cyprinus carpio,Acanthocephalorhynchoides ussuriensis,helminth
Cyprinus carpio,Acanthocephalus anguillae,helminth
Cyprinus carpio,Acanthocephalus dirus,helminth
Cyprinus carpio,Acanthocephalus lucii,helminth
Cyprinus carpio,Allocreadium carparum,helminth
Cyprinus carpio,Allocreadium isoporum,helminth
Cyprinus carpio,Ancyrocephalus magnus,helminth
Cyprinus carpio,Ancyrocephalus paradoxus,helminth
Cyprinus carpio,Anguillicola crassus,helminth
Cyprinus carpio,Anisakis schupakovi,helminth
Cyprinus carpio,Apharyngostrigea cornu,helminth
Cyprinus carpio,Apophallus venustus,helminth
Cyprinus carpio,Archigetes sieboldi,helminth
Cyprinus carpio,Arhythmorhynchus brevis,helminth
Cyprinus carpio communis,Arhythmorhynchus brevis,helminth
Cyprinus carpio,Ascaris carpionis,helminth
Cyprinus carpio,Ascocotyle coleostoma,helminth
Cyprinus carpio,Aspidogaster amurensis,helminth
Cyprinus carpio,Aspidogaster conchicola,helminth
Cyprinus carpio,Aspidogaster ijimai,helminth
Cyprinus carpio,Aspidogaster limacoides,helminth
Cyprinus carpio,Asymphylodora imitans,helminth
Cyprinus carpio,Asymphylodora japonica,helminth
Cyprinus carpio,Asymphylodora kubanicum,helminth
Cyprinus carpio,Asymphylodora markewitschi,helminth
Cyprinus carpio,Asymphylodora sinensis,helminth
Cyprinus carpio,Asymphylodora tincae,helminth
Cyprinus carpio,Atractolytocestus huronensis,helminth
Cyprinus carpio,Atractolytocestus sagitattus,helminth
Cyprinus carpio,Azygia cyprinus,helminth
Cyprinus carpio,Baruscapillaria appendiculata,helminth
Cyprinus carpio,Bathybothrium rectangulum,helminth
Cyprinus carpio,Bothriocephalus acheilognathi,helminth
Cyprinus carpio communis,Bothriocephalus acheilognathi,helminth
Cyprinus carpio rubrofuscus,Bothriocephalus acheilognathi,helminth
Cyprinus carpio specularis,Bothriocephalus acheilognathi,helminth
Cyprinus carpio,Bothriocephalus gowkongensis,helminth
Cyprinus carpio,Bothriocephalus opsariichthydis,helminth
Cyprinus carpio,Brentisentis cyprini,helminth
Cyprinus carpio,Breviscolex orientalis,helminth
Cyprinus carpio,Bucephalus polymorphus,helminth
Cyprinus carpio,Bunodera luciopercae,helminth
Cyprinus carpio,Camallanus lacustris,helminth
Cyprinus carpio,Capillaria catostomi,helminth
Cyprinus carpio,Capillaria patzcuarensis,helminth
Cyprinus carpio communis,Capillaria patzcuarensis,helminth
Cyprinus carpio,Capillaria petrushchewskii,helminth
Cyprinus carpio,Capillaria tomentosa,helminth
Cyprinus carpio,Carassotrema koreanum,helminth
Cyprinus carpio,Carassotrema wui,helminth
Cyprinus carpio,Caryophyllaeides fennica,helminth
Cyprinus carpio,Caryophyllaeus brachycollis,helminth
