"","Host.Species","Host.Order","Parasite.Species","Parasite.Taxa","source"
"1","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"2","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"3","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"4","Homo_sapiens","Primates","Echinococcus multilocularis","Cestoda","Wells"
"5","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
"6","Homo_sapiens","Primates","Hymenolepis diminuta","Cestoda","Wells"
"7","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"8","Homo_sapiens","Primates","Echinococcus multilocularis","Cestoda","Wells"
"9","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
"10","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"11","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"12","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
"13","Homo_sapiens","Primates","Hymenolepis diminuta","Cestoda","Wells"
"14","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"15","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
"16","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"17","Homo_sapiens","Primates","Echinococcus multilocularis","Cestoda","Wells"
"18","Homo_sapiens","Primates","Hydatigera taeniaeformis","Cestoda","Wells"
"19","Homo_sapiens","Primates","Calodium hepaticum","Nematoda","Wells"
"20","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
"21","Homo_sapiens","Primates","Hymenolepis diminuta","Cestoda","Wells"
"22","Homo_sapiens","Primates","Echinococcus multilocularis","Cestoda","Wells"
"23","Homo_sapiens","Primates","Hymenolepis diminuta","Cestoda","Wells"
"24","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"25","Homo_sapiens","Primates","Echinococcus multilocularis","Cestoda","Wells"
"26","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
"27","Homo_sapiens","Primates","Mesocestoides lineatus","Cestoda","Wells"
"28","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"29","Homo_sapiens","Primates","Hymenolepis diminuta","Cestoda","Wells"
"30","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"31","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
"32","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"33","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"34","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
"35","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
"36","Homo_sapiens","Primates","Hymenolepis diminuta","Cestoda","Wells"
"37","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"38","Homo_sapiens","Primates","Echinococcus multilocularis","Cestoda","Wells"
"39","Homo_sapiens","Primates","Echinococcus multilocularis","Cestoda","Wells"
"40","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"41","Homo_sapiens","Primates","Calodium hepaticum","Nematoda","Wells"
"42","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
"43","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"44","Homo_sapiens","Primates","Hymenolepis diminuta","Cestoda","Wells"
"45","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"46","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"47","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"48","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"49","Homo_sapiens","Primates","Echinococcus multilocularis","Cestoda","Wells"
"50","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
"51","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
"52","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
"53","Homo_sapiens","Primates","Hymenolepis diminuta","Cestoda","Wells"
"54","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"55","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
"56","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"57","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
"58","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
"59","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"60","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"61","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"62","Homo_sapiens","Primates","Hymenolepis diminuta","Cestoda","Wells"
"63","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"64","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"65","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"66","Homo_sapiens","Primates","Hymenolepis diminuta","Cestoda","Wells"
"67","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"68","Homo_sapiens","Primates","Echinococcus multilocularis","Cestoda","Wells"
"69","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"70","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"71","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"72","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
"73","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"74","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"75","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"76","Homo_sapiens","Primates","Hymenolepis diminuta","Cestoda","Wells"
"77","Homo_sapiens","Primates","Mesocestoides lineatus","Cestoda","Wells"
"78","Homo_sapiens","Primates","Echinococcus multilocularis","Cestoda","Wells"
"79","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"80","Homo_sapiens","Primates","Echinococcus multilocularis","Cestoda","Wells"
"81","Homo_sapiens","Primates","Hydatigera taeniaeformis","Cestoda","Wells"
"82","Homo_sapiens","Primates","Taenia hydatigena","Cestoda","Wells"
"83","Homo_sapiens","Primates","Hydatigera taeniaeformis","Cestoda","Wells"
"84","Homo_sapiens","Primates","Calodium hepaticum","Nematoda","Wells"
"85","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
"86","Homo_sapiens","Primates","Echinococcus multilocularis","Cestoda","Wells"
"87","Homo_sapiens","Primates","Hydatigera taeniaeformis","Cestoda","Wells"
"88","Homo_sapiens","Primates","Calodium hepaticum","Nematoda","Wells"
"89","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
"90","Homo_sapiens","Primates","Echinococcus multilocularis","Cestoda","Wells"
"91","Homo_sapiens","Primates","Echinococcus multilocularis","Cestoda","Wells"
"92","Homo_sapiens","Primates","Echinococcus multilocularis","Cestoda","Wells"
"93","Homo_sapiens","Primates","Echinococcus multilocularis","Cestoda","Wells"
"94","Homo_sapiens","Primates","Echinococcus granulosus","Cestoda","Wells"
"95","Homo_sapiens","Primates","Trichinella spiralis","Nematoda","Wells"
