Cargo,Cargo classification,Carrier,Carrier classification,Sequences count,Publications count,Sequences,Publications
abiotrophia defectiva,Bacteria,homo sapiens,Human,236,3,285801079;285801080;285801081;285801082;285801083;285801084;285801085;285801086;285801087;285801088;285801089;285801090;285801091;285801092;285801093;285801094;285801095;285801096;285801097;285801098;285801099;285801100;285801101;285801102;285801103;285801104;285801105;285801106;285801107;285801108;285801109;285801110;285801111;285801112;285801113;285801114;285801115;285801116;285801117;285801118;285801119;285801120;285801121;285801122;285801123;285801124;285801125;285801126;285801127;285801128;285801129;285801130;285801131;285801132;285801133;285801134;285801135;285801136;285801137;285801138;285801139;285801140;285801141;285801142;285801143;285801144;285801145;285801146;285801147;285801148;285801149;285801150;285801151;285801152;285801153;285801154;285801155;285801156;285801157;285801158;285801159;285801160;285801161;285801162;285801163;285801164;285801165;285801166;285801167;285801168;285801169;285801170;285801171;285801172;285801173;285801174;285801175;285801176;285801177;285801178,10405400;11095068;21503231
acanthamoeba astronyxis,Protozoa,homo sapiens,Human,0,6,NA,19527355;11427418;10678988;3803333;7252885;507100
acanthamoeba castellanii,Protozoa,homo sapiens,Human,0,43,NA,686155;1398130;1982316;2173683;2596545;3956463;6209283;6972421;7108568;7623204;8039895;8550225;8565615;9097437;9143134;9245619;9284149;9286276;10698751;11741845;12874317;12882791;14573643;15133109;15156026;15189979;15883032;16091472;16533820;16825391;16882028;17893138;18250176;18426879;18441871;19015256;19411431;19457534;19645820;19896940;20345489;20650684;21653740
acanthamoeba culbertsoni,Protozoa,homo sapiens,Human,0,5,NA,357454;3449996;6418422;8556491;12639009
acanthamoeba hatchetti,Protozoa,homo sapiens,Human,2,0,76008327;76008329,NA
acanthamoeba lenticulata,Protozoa,homo sapiens,Human,1,0,133919129,NA
acanthamoeba polyphaga,Protozoa,homo sapiens,Human,0,17,NA,2791723;8449684;8565194;9529112;12071681;12183273;16177298;16325369;16391127;16505663;17569030;18279343;18279351;18811729;19457534;19632188;19645820
acanthocheilonema reconditum,Helminth,canis lupus,Mammal,1,0,329556547,NA
achromobacter denitrificans,Bacteria,homo sapiens,Human,1,0,224995020,NA
achromobacter piechaudii,Bacteria,homo sapiens,Human,1,0,290889362,NA
achromobacter xylosoxidans,Bacteria,homo sapiens,Human,33,10,285800532;285800533;285800534;285800535;285800536;285800537;285800538;285800539;285800540;285800541;285800542;285800543;285800544;285800545;285800546;285800547;285800548;285800549;285800550;285800551;285800552;285800553;285800554;285800555;285800556;285800557;285800558;285800559;285800560;285800561;297179872;297179874;308097804,360830;554008;11891518;11923333;12455705;12892129;14555458;16002239;18408852;19722651
acidaminococcus fermentans,Bacteria,homo sapiens,Human,0,7,NA,17911303;11036038;10964512;10952584;9083111;8648152;4589136
