vVirusNameCorrected,hHostNameFinal,reservoir.status,spillover.capacity,animal.severity,trans.route,lower.mort,upper.mort,inf.period,symptoms,human.trans,recombination,notes,WildDomInReference,DetectionMethod,hOrder,hFamily,hGenus,hSpecies,vOrder,vFamily,vSubfamily,vGenus,vGenomeAveLength,vCytoReplicTF,vSegmentedTF,vSSoDS,vDNAoRNA,vEnvelope,References_traits,References_detection..Olival.et.al..2017.,avg.mort,AdultBodyMass_g,LitterSize,MaxLongevity_m,GestationLen_d,hAllZACites,hDiseaseZACites,phylo.dist.humans.species,zoonoses,TotVirus,max_breadth,max_hum_dist,Genome.comp,IsZoonotic.stringent,trans.stat
Andes_virus,Abrothrix_longipilis,1,1,1,"fecal-oral, respiratory",37,37,1,hantavirus cardiopulmonary syndrome (HCPS),2,high,Only hantavirus with recorded human-to-human transmission,wild,PCR,RODENTIA,CRICETIDAE,Abrothrix,longipilis,Bunyavirales,Hantaviridae,NA,Orthohantavirus,10233,TRUE,TRUE,SS,RNA,enveloped,Ferres et al. 2007; Martinez et al. 2005; Toro et al. 1998,Medina et al. 2009,37,38.86,3.7,12,20,53,10,0.797125379,1,1,0.624938321,0.877599404,ssRNA(-),1,direct_host
Andes_virus,Calomys_tener,1,1,1,"fecal-oral, respiratory",37,37,1,hantavirus cardiopulmonary syndrome (HCPS),2,high,Only hantavirus with recorded human-to-human transmission,wild,PCR,RODENTIA,CRICETIDAE,Calomys,tener,Bunyavirales,Hantaviridae,NA,Orthohantavirus,10233,TRUE,TRUE,SS,RNA,enveloped,Ferres et al. 2007; Martinez et al. 2005; Toro et al. 1998,de Figueirodo et al. 2010,37,13.8,5.49,13.5,22.59,26,3,0.836404931,1,1,0.624938321,0.877599404,ssRNA(-),1,direct_host
Andes_virus,Necromys_obscurus,1,1,1,"fecal-oral, respiratory",37,37,1,hantavirus cardiopulmonary syndrome (HCPS),2,high,Only hantavirus with recorded human-to-human transmission,wild,PCR,RODENTIA,CRICETIDAE,Necromys,obscurus,Bunyavirales,Hantaviridae,NA,Orthohantavirus,10233,TRUE,TRUE,SS,RNA,enveloped,Ferres et al. 2007; Martinez et al. 2005; Toro et al. 1998,Levis et al. 1997,37,40.69,4.86,11,21.97,4,2,0.849421217,3,4,0.624938321,0.877599404,ssRNA(-),1,direct_host
Andes_virus,Thaptomys_nigrita,1,1,1,"fecal-oral, respiratory",37,37,1,hantavirus cardiopulmonary syndrome (HCPS),2,high,Only hantavirus with recorded human-to-human transmission,wild,PCR,RODENTIA,CRICETIDAE,Thaptomys,nigrita,Bunyavirales,Hantaviridae,NA,Orthohantavirus,10233,TRUE,TRUE,SS,RNA,enveloped,Ferres et al. 2007; Martinez et al. 2005; Toro et al. 1998,Araujo et al. 2011,37,19.9,5.44,62.4,27,18,4,0.76802227,1,1,0.624938321,0.877599404,ssRNA(-),1,direct_host
Andes_virus,Oligoryzomys_flavescens,1,1,1,"fecal-oral, respiratory",37,37,1,hantavirus cardiopulmonary syndrome (HCPS),2,high,Only hantavirus with recorded human-to-human transmission,wild,PCR,RODENTIA,CRICETIDAE,Oligoryzomys,flavescens,Bunyavirales,Hantaviridae,NA,Orthohantavirus,10233,TRUE,TRUE,SS,RNA,enveloped,Ferres et al. 2007; Martinez et al. 2005; Toro et al. 1998,Medina et al. 2009,37,21.3,4.95,21.5,20.59,71,27,0.836349814,2,3,0.624938321,0.877599404,ssRNA(-),1,direct_host
Andes_virus,Oligoryzomys_nigripes,1,1,1,"fecal-oral, respiratory",37,37,1,hantavirus cardiopulmonary syndrome (HCPS),2,high,Only hantavirus with recorded human-to-human transmission,wild,PCR,RODENTIA,CRICETIDAE,Oligoryzomys,nigripes,Bunyavirales,Hantaviridae,NA,Orthohantavirus,10233,TRUE,TRUE,SS,RNA,enveloped,Ferres et al. 2007; Martinez et al. 2005; Toro et al. 1998,Padula et al. 2007,37,20.33,3.59,21.5,20.59,64,22,0.828464394,1,2,0.624938321,0.877599404,ssRNA(-),1,direct_host
Andes_virus,Rattus_rattus,1,1,1,"fecal-oral, respiratory",37,37,1,hantavirus cardiopulmonary syndrome (HCPS),2,high,Only hantavirus with recorded human-to-human transmission,domestic,PCR,RODENTIA,MURIDAE,Rattus,rattus,Bunyavirales,Hantaviridae,NA,Orthohantavirus,10233,TRUE,TRUE,SS,RNA,enveloped,Ferres et al. 2007; Martinez et al. 2005; Toro et al. 1998,Medina et al. 2009,37,142.68,5.88,50.4,23.45,3004,1193,0.664980594,5,11,0.624938321,0.877599404,ssRNA(-),1,direct_host
Andes_virus,Oligoryzomys_chacoensis,1,1,1,"fecal-oral, respiratory",37,37,1,hantavirus cardiopulmonary syndrome (HCPS),2,high,Only hantavirus with recorded human-to-human transmission,wild,PCR,RODENTIA,CRICETIDAE,Oligoryzomys,chacoensis,Bunyavirales,Hantaviridae,NA,Orthohantavirus,10233,TRUE,TRUE,SS,RNA,enveloped,Ferres et al. 2007; Martinez et al. 2005; Toro et al. 1998,Chu et al. 2003,37,23,4.2375,21.5,20.59,15,4,0.837344873,1,1,0.624938321,0.877599404,ssRNA(-),1,direct_host
Andes_virus,Rattus_norvegicus,1,1,1,"fecal-oral, respiratory",37,37,1,hantavirus cardiopulmonary syndrome (HCPS),2,high,Only hantavirus with recorded human-to-human transmission,wild,PCR,RODENTIA,MURIDAE,Rattus,norvegicus,Bunyavirales,Hantaviridae,NA,Orthohantavirus,10233,TRUE,TRUE,SS,RNA,enveloped,Ferres et al. 2007; Martinez et al. 2005; Toro et al. 1998,Fernandez et al. 2008,37,282.89,8.99,50.4,21.74,3365,1198,0.662616958,6,15,0.624938321,0.877599404,ssRNA(-),1,direct_host
Andes_virus,Necromys_benefactus,1,1,1,"fecal-oral, respiratory",37,37,1,hantavirus cardiopulmonary syndrome (HCPS),2,high,Only hantavirus with recorded human-to-human transmission,wild,PCR,RODENTIA,CRICETIDAE,Necromys,benefactus,Bunyavirales,Hantaviridae,NA,Orthohantavirus,10233,TRUE,TRUE,SS,RNA,enveloped,Ferres et al. 2007; Martinez et al. 2005; Toro et al. 1998,Chu et al. 2006,37,40.31,4.68,11,21.97,8,3,0.855656322,1,2,0.624938321,0.877599404,ssRNA(-),1,direct_host
